// Java program for Kruskal's algorithm 

OUTPUT

Following are the edges of the constructed MST:
10 -- 11 == 8
17 -- 18 == 8
6 -- 37 == 9
20 -- 21 == 10
28 -- 29 == 12
34 -- 35 == 15
24 -- 25 == 22
21 -- 22 == 24
13 -- 14 == 25
14 -- 15 == 25
27 -- 28 == 25
33 -- 35 == 26
4 -- 37 == 29
6 -- 10 == 30
32 -- 34 == 30
5 -- 12 == 31
7 -- 8 == 33
29 -- 31 == 33
29 -- 32 == 34
11 -- 14 == 35
14 -- 17 == 35
18 -- 20 == 35
4 -- 7 == 36
16 -- 19 == 36
24 -- 27 == 38
16 -- 17 == 42
8 -- 9 == 45
12 -- 13 == 45
21 -- 25 == 60
26 -- 30 == 60
22 -- 23 == 61
30 -- 31 == 61
2 -- 3 == 65
33 -- 36 == 68
2 -- 4 == 74
1 -- 2 == 78
Total cost of MST: 1301
